ID;materialName;materialType;baseUnit;plant_ID
b2000000-0000-0000-0000-000000000001;Steel Rod 12mm;RAW;PC;a1000000-0000-0000-0000-000000000001
b2000000-0000-0000-0000-000000000002;Copper Wire Spool;RAW;M;a1000000-0000-0000-0000-000000000002
b2000000-0000-0000-0000-000000000003;Aluminium Sheet;RAW;KG;a1000000-0000-0000-0000-000000000003
b2000000-0000-0000-0000-000000000004;Plastic Granules;RAW;KG;a1000000-0000-0000-0000-000000000004
b2000000-0000-0000-0000-000000000005;Rubber Gasket;SEMI;PC;a1000000-0000-0000-0000-000000000005
b2000000-0000-0000-0000-000000000006;Circuit Board;SEMI;PC;a1000000-0000-0000-0000-000000000006
b2000000-0000-0000-0000-000000000007;Electric Motor;FIN;PC;a1000000-0000-0000-0000-000000000007
b2000000-0000-0000-0000-000000000008;Gear Box Unit;FIN;PC;a1000000-0000-0000-0000-000000000008
b2000000-0000-0000-0000-000000000009;Hydraulic Pump;FIN;PC;a1000000-0000-0000-0000-000000000009
b2000000-0000-0000-0000-000000000010;Control Valve;FIN;PC;a1000000-0000-0000-0000-000000000010
b2000000-0000-0000-0000-000000000011;Bearing 6204;SPARE;PC;a1000000-0000-0000-0000-000000000001
b2000000-0000-0000-0000-000000000012;Drive Belt;SPARE;PC;a1000000-0000-0000-0000-000000000002
b2000000-0000-0000-0000-000000000013;Cooling Fan;SPARE;PC;a1000000-0000-0000-0000-000000000003
b2000000-0000-0000-0000-000000000014;Power Supply Unit;SEMI;PC;a1000000-0000-0000-0000-000000000004
b2000000-0000-0000-0000-000000000015;Sensor Module;SEMI;PC;a1000000-0000-0000-0000-000000000005
b2000000-0000-0000-0000-000000000016;LED Panel;FIN;PC;a1000000-0000-0000-0000-000000000006
b2000000-0000-0000-0000-000000000017;Battery Pack;FIN;PC;a1000000-0000-0000-0000-000000000007
b2000000-0000-0000-0000-000000000018;Cable Harness;SEMI;M;a1000000-0000-0000-0000-000000000008
b2000000-0000-0000-0000-000000000019;Mounting Bracket;RAW;PC;a1000000-0000-0000-0000-000000000009
b2000000-0000-0000-0000-000000000020;Touch Display;FIN;PC;a1000000-0000-0000-0000-000000000010
